"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
322,Paper products,0.0077653,0.0021289,0.0037513,0.0055888,0.0032319,0.0025117,0.0080752,0.0185584,0.0229280,0.0212677,0.0163377,0.0149026,0.0047169,0.0210037,0.0253117,0.0070994,0.0328462,0.0237285,0.0405180,0.0210776,0.0065977,1.2983534,0.1406821,0.0047661,0.0143956,0.0334067,0.0081037,0.0025615,0.0065506,0.0041323,0.0056676,0.0038107,0.0043815,0.0043767,0.0047519,0.0217787,0.0022710,0.0101406,0.0044345,0.0057405,0.0035028,0.0035141,0.0041659,0.0024631,0.0038099,0.0036111,0.0023307,0.0005236,0.0044824,0.0055605,0.0027380,0.0035427,0.0049838,0.0036209,0.0096520,0.0087450,0.0035426,0.0043989,0.0061551,0.0070597,0.0110010,0.0029415,0.0044105,0.0147618,0.0117296,0.0052972,0.0033599,0.0099480,0.0048111,0.0119979,0.0052559
323,Printing and related support activities,0.0014293,0.0007563,0.0013027,0.0013558,0.0011060,0.0012822,0.0018201,0.0018022,0.0015232,0.0035670,0.0021824,0.0020088,0.0006604,0.0019900,0.0025562,0.0012549,0.0026761,0.0019273,0.0019262,0.0043228,0.0028847,0.0031005,1.0154005,0.0013563,0.0014115,0.0020327,0.0057210,0.0018065,0.0017753,0.0019217,0.0081631,0.0013817,0.0014225,0.0019558,0.0022038,0.0026401,0.0009647,0.0021946,0.0011500,0.0084474,0.0062471,0.0023833,0.0076636,0.0020072,0.0039582,0.0045798,0.0023750,0.0002584,0.0019991,0.0026493,0.0025354,0.0018407,0.0042220,0.0030076,0.0044878,0.0019760,0.0028035,0.0022438,0.0045396,0.0017995,0.0061164,0.0040833,0.0025742,0.0034665,0.0024843,0.0024663,0.0019836,0.0046904,0.0015683,0.0050585,0.0029703
324,Petroleum and coal products,0.0328430,0.0165252,0.0298956,0.0437414,0.0168250,0.0391917,0.0330505,0.0213273,0.0214799,0.0247681,0.0161318,0.0130864,0.0041575,0.0163189,0.0164050,0.0071786,0.0183324,0.0167904,0.0224622,0.0310385,0.0084697,0.0263991,0.0204412,1.0572068,0.0355845,0.0369981,0.0103278,0.0076896,0.0096405,0.0079451,0.0102865,0.1586144,0.0651244,0.0777243,0.0697404,0.0261894,0.0077125,0.0570366,0.0324990,0.0052699,0.0054305,0.0059525,0.0069567,0.0074598,0.0115212,0.0017521,0.0088944,0.0016577,0.0136515,0.0110237,0.0030951,0.0064007,0.0069917,0.0060396,0.0124995,0.0231788,0.0087187,0.0084172,0.0098967,0.0104387,0.0105239,0.0063300,0.0120808,0.0083304,0.0122581,0.0089079,0.0331464,0.0100182,0.0249370,0.0657198,0.0828597
325,Chemical products,0.0966007,0.0603960,0.0397615,0.0450339,0.0207788,0.0140297,0.0348118,0.0714338,0.0566581,0.0326077,0.0448632,0.0386171,0.0177658,0.0506686,0.0785528,0.0235157,0.0819999,0.0801146,0.0626558,0.3402456,0.0465260,0.0980179,0.0916082,0.1120031,1.3340064,0.4086058,0.0148927,0.0080861,0.0114073,0.0120671,0.0133393,0.0250207,0.0185804,0.0185702,0.0174367,0.0111255,0.0057179,0.0158360,0.0136509,0.0080718,0.0106768,0.0123994,0.0122716,0.0047651,0.0083683,0.0039859,0.0054305,0.0019345,0.0218734,0.0115229,0.0045703,0.0081604,0.0259351,0.0093033,0.0228393,0.0347476,0.0103918,0.0698290,0.0512552,0.0379757,0.0209653,0.0088341,0.0171735,0.0105971,0.0186840,0.0186747,0.0291165,0.0198405,0.0110530,0.0432037,0.0386820
326,Plastics and rubber products,0.0128584,0.0046925,0.0052911,0.0180434,0.0086180,0.0032825,0.0251545,0.0207907,0.0166002,0.0149324,0.0162621,0.0394195,0.0113173,0.0279647,0.0666814,0.0183320,0.0526405,0.0380753,0.0326323,0.0267626,0.0123779,0.0295247,0.0466404,0.0071725,0.0225300,1.1014900,0.0151565,0.0057849,0.0103926,0.0057915,0.0092408,0.0055072,0.0051128,0.0056767,0.0080896,0.0048121,0.0032473,0.0101342,0.0061877,0.0035483,0.0039176,0.0116417,0.0057682,0.0018353,0.0032246,0.0035399,0.0021540,0.0010352,0.0050375,0.0101909,0.0017245,0.0063431,0.0080452,0.0030560,0.0072925,0.0118085,0.0050133,0.0114248,0.0107775,0.0105394,0.0143884,0.0027612,0.0056189,0.0045313,0.0134401,0.0095107,0.0081967,0.0070738,0.0049963,0.0126273,0.0198262
42,Wholesale trade,0.1617804,0.0686695,0.0564811,0.0719378,0.0367257,0.0289122,0.0974545,0.1639329,0.0911343,0.1846249,0.1382264,0.1483348,0.0657239,0.1556686,0.2304454,0.0983481,0.1561311,0.1074775,0.1857185,0.1323716,0.1086835,0.1408373,0.0941439,0.0899168,0.1224921,0.1571320,1.0459240,0.0224152,0.0249423,0.0263111,0.0375003,0.0456098,0.0618981,0.0565459,0.0494779,0.0279116,0.0179618,0.0400582,0.0338544,0.0366934,0.0137558,0.0373434,0.0268660,0.0097282,0.0161877,0.0066143,0.0121994,0.0044502,0.0263436,0.0564204,0.0092790,0.0208276,0.0273227,0.0223459,0.0331857,0.0638952,0.0216387,0.0471233,0.0451509,0.0348420,0.0517027,0.0146311,0.0346364,0.0286561,0.0560718,0.0370878,0.0555190,0.0311463,0.0348123,0.0525317,0.0798749
441,Motor vehicle and parts dealers,0.0006170,0.0002818,0.0011993,0.0022653,0.0010751,0.0004297,0.0021361,0.0033242,0.0019879,0.0014240,0.0019344,0.0061109,0.0007046,0.0009110,0.0078175,0.0025868,0.0023831,0.0020972,0.0019230,0.0011658,0.0006242,0.0029134,0.0013961,0.0009256,0.0010856,0.0014949,0.0005404,1.0014380,0.0027145,0.0008015,0.0020805,0.0005530,0.0007537,0.0009703,0.0035772,0.0007771,0.0003309,0.0007073,0.0009324,0.0005005,0.0005864,0.0005757,0.0005685,0.0002856,0.0004096,0.0001802,0.0002478,0.0001790,0.0008981,0.0021316,0.0002544,0.0004307,0.0007028,0.0004516,0.0030256,0.0017133,0.0003501,0.0003539,0.0005837,0.0004631,0.0005236,0.0004138,0.0005917,0.0004906,0.0007253,0.0066844,0.0006085,0.0005790,0.0005238,0.0005575,0.0009360
445,Food and beverage stores,0.0001425,0.0000218,0.0000288,0.0000415,0.0000206,0.0001686,0.0001509,0.0000496,0.0000713,0.0000617,0.0000493,0.0000587,0.0000192,0.0000505,0.0000614,0.0000255,0.0000894,0.0000705,0.0000977,0.0000590,0.0000326,0.0000569,0.0002744,0.0000462,0.0000907,0.0000651,0.0000426,0.0000420,1.0000481,0.0000384,0.0000551,0.0000832,0.0000708,0.0000439,0.0006220,0.0002299,0.0000219,0.0001685,0.0000366,0.0000243,0.0000282,0.0000257,0.0000394,0.0000371,0.0000397,0.0000147,0.0000277,0.0000382,0.0001077,0.0000507,0.0000260,0.0000395,0.0000425,0.0000346,0.0001022,0.0000477,0.0000429,0.0000541,0.0000640,0.0000778,0.0000559,0.0000311,0.0000468,0.0001455,0.0014470,0.0000506,0.0000247,0.0000250,0.0000307,0.0000392,0.0000546
452,General merchandise stores,0.0003979,0.0000746,0.0001226,0.0002141,0.0000914,0.0004339,0.0010324,0.0002861,0.0002614,0.0002156,0.0002085,0.0004355,0.0000942,0.0001942,0.0004907,0.0001652,0.0004361,0.0003621,0.0003451,0.0002362,0.0001113,0.0002673,0.0009559,0.0001412,0.0002215,0.0002208,0.0001178,0.0001712,0.0002641,1.0001323,0.0002442,0.0001434,0.0002295,0.0001498,0.0017632,0.0006330,0.0000686,0.0004496,0.0001271,0.0000768,0.0000826,0.0000860,0.0001069,0.0000689,0.0000974,0.0000369,0.0000594,0.0002040,0.0003227,0.0002244,0.0000567,0.0000730,0.0001065,0.0000785,0.0003932,0.0001790,0.0002177,0.0000841,0.0001236,0.0001146,0.0001187,0.0000964,0.0001259,0.0003362,0.0004318,0.0004519,0.0000911,0.0000929,0.0000936,0.0001113,0.0002599
4A0,Other retail,0.0064900,0.0011214,0.0016814,0.0050164,0.0015052,0.0077823,0.0513871,0.0067637,0.0034716,0.0035963,0.0029599,0.0043705,0.0012771,0.0029972,0.0045934,0.0017100,0.0062124,0.0047714,0.0050576,0.0048297,0.0016525,0.0038311,0.0170078,0.0031224,0.0063391,0.0041685,0.0019089,0.0039693,0.0028458,0.0044770,1.0033642,0.0025685,0.0045813,0.0095233,0.0288168,0.0096920,0.0012964,0.0087532,0.0019839,0.0009794,0.0012838,0.0013136,0.0015831,0.0012950,0.0016291,0.0005816,0.0010113,0.0037443,0.0052124,0.0020184,0.0008345,0.0009860,0.0015442,0.0011690,0.0028555,0.0023599,0.0015896,0.0015785,0.0019908,0.0021551,0.0019967,0.0026394,0.0031600,0.0065925,0.0091417,0.0042530,0.0019637,0.0013344,0.0018009,0.0023316,0.0097899
481,Air transportation,0.0039134,0.0043439,0.0017895,0.0023013,0.0023315,0.0027558,0.0027692,0.0064382,0.0070724,0.0044708,0.0037895,0.0034064,0.0011291,0.0031792,0.0045513,0.0023417,0.0042710,0.0030366,0.0041630,0.0032092,0.0025677,0.0044281,0.0038023,0.0021184,0.0024415,0.0045486,0.0052548,0.0019830,0.0022732,0.0020222,0.0029829,1.0045155,0.0023326,0.0060552,0.0123416,0.0023893,0.0013884,0.0101608,0.0043590,0.0025826,0.0033639,0.0024663,0.0042332,0.0051279,0.0067435,0.0008113,0.0044242,0.0004965,0.0083066,0.0051760,0.0027812,0.0059045,0.0038809,0.0024295,0.0055713,0.0054904,0.0031219,0.0031707,0.0026210,0.0029437,0.0040164,0.0022205,0.0032070,0.0018644,0.0038424,0.0022666,0.0085725,0.0078691,0.0062964,0.0029360,0.0025325
482,Rail transportation,0.0096609,0.0020055,0.0035177,0.0100270,0.0020201,0.0055431,0.0045318,0.0116276,0.0187704,0.0196436,0.0098483,0.0065661,0.0014439,0.0078145,0.0086178,0.0031928,0.0090457,0.0047892,0.0126723,0.0058224,0.0016023,0.0195221,0.0053980,0.0065640,0.0089887,0.0129231,0.0012002,0.0007671,0.0012740,0.0010046,0.0011775,0.0025927,1.0044981,0.0021422,0.0113916,0.0012766,0.0008332,0.0025923,0.0013095,0.0006292,0.0006438,0.0011275,0.0010123,0.0004721,0.0009282,0.0003125,0.0005882,0.0002327,0.0014455,0.0011457,0.0004032,0.0006760,0.0012157,0.0006470,0.0015814,0.0023185,0.0009654,0.0013623,0.0014575,0.0015135,0.0025872,0.0007128,0.0015858,0.0014899,0.0030159,0.0013518,0.0016228,0.0039529,0.0078623,0.0028588,0.0071826
483,Water transportation,0.0030941,0.0003788,0.0016608,0.0019084,0.0005086,0.0007114,0.0010717,0.0004835,0.0034085,0.0030201,0.0014890,0.0009463,0.0002408,0.0013495,0.0010329,0.0004126,0.0007843,0.0008175,0.0031093,0.0012223,0.0002880,0.0011064,0.0004346,0.0013837,0.0016536,0.0012993,0.0003042,0.0002009,0.0002456,0.0001996,0.0002752,0.0004879,0.0003692,1.0007541,0.0004263,0.0002186,0.0002868,0.0003119,0.0003477,0.0001770,0.0001569,0.0002003,0.0002223,0.0001271,0.0002950,0.0000631,0.0001716,0.0000495,0.0002885,0.0002515,0.0000772,0.0001338,0.0003303,0.0001544,0.0003096,0.0005178,0.0003711,0.0003074,0.0003443,0.0002825,0.0004966,0.0001604,0.0003454,0.0002927,0.0005736,0.0002480,0.0030884,0.0007620,0.0143395,0.0006956,0.0010318
484,Truck transportation,0.0432518,0.0170703,0.0110812,0.0225693,0.0073345,0.0087436,0.0276243,0.0410376,0.0482582,0.0578509,0.0360231,0.0300601,0.0092962,0.0335375,0.0396297,0.0171805,0.0390294,0.0209199,0.0659439,0.0329240,0.0213233,0.0379395,0.0217457,0.0216523,0.0206762,0.0288061,0.0114736,0.0105364,0.0112664,0.0090616,0.0141112,0.0251254,0.0143142,0.0157732,1.0558444,0.0078754,0.0051682,0.0401514,0.0159588,0.0054484,0.0048841,0.0062593,0.0072058,0.0023396,0.0042381,0.0016195,0.0027504,0.0011908,0.0076827,0.0075502,0.0023881,0.0041106,0.0069570,0.0037150,0.0071065,0.0170458,0.0054987,0.0059914,0.0079612,0.0073038,0.0136214,0.0044755,0.0098386,0.0072814,0.0130355,0.0078556,0.0149130,0.0063262,0.0173692,0.0114285,0.0175974
485,Transit and ground passenger transportation,0.0007306,0.0003846,0.0008968,0.0009418,0.0011444,0.0031012,0.0011044,0.0013105,0.0015524,0.0016938,0.0015056,0.0012035,0.0003415,0.0010174,0.0013333,0.0007200,0.0015132,0.0011924,0.0010129,0.0009956,0.0009941,0.0014543,0.0016627,0.0009077,0.0007200,0.0014192,0.0017350,0.0011583,0.0012032,0.0011634,0.0015672,0.0009257,0.0040499,0.0015075,0.0011755,1.0012223,0.0008220,0.0018312,0.0009679,0.0014935,0.0030357,0.0023336,0.0030457,0.0038677,0.0036842,0.0017269,0.0025215,0.0003452,0.0055755,0.0032469,0.0022010,0.0043522,0.0030999,0.0016448,0.0037742,0.0027930,0.0022359,0.0023543,0.0038784,0.0033844,0.0019681,0.0145231,0.0017537,0.0011199,0.0023088,0.0013441,0.0006815,0.0010231,0.0008765,0.0071888,0.0038811
486,Pipeline transportation,0.0022270,0.0009779,0.0213622,0.0028883,0.0009224,0.0150620,0.0017510,0.0014115,0.0016896,0.0018154,0.0012274,0.0009528,0.0003396,0.0011098,0.0011705,0.0006623,0.0012530,0.0010458,0.0015545,0.0021019,0.0005790,0.0020200,0.0014499,0.0355521,0.0025266,0.0022796,0.0008142,0.0006870,0.0012215,0.0010334,0.0009960,0.0080916,0.0033211,0.0041315,0.0038751,0.0014643,1.0008054,0.0031012,0.0020671,0.0004409,0.0004594,0.0005500,0.0006281,0.0004868,0.0007628,0.0001478,0.0006272,0.0001089,0.0012255,0.0007741,0.0002876,0.0004313,0.0005153,0.0005503,0.0008446,0.0015521,0.0008727,0.0005681,0.0007810,0.0008836,0.0007631,0.0005370,0.0010749,0.0008435,0.0011388,0.0007231,0.0017896,0.0006723,0.0046730,0.0035181,0.0163828
487OS,Other transportation and support activities,0.0146904,0.0078489,0.0063747,0.0133187,0.0044372,0.0217045,0.0111747,0.0217557,0.0222434,0.0196680,0.0134663,0.0123178,0.0045057,0.0130722,0.0172621,0.0076827,0.0183010,0.0102984,0.0198154,0.0145289,0.0102550,0.0191111,0.0143170,0.0109940,0.0098426,0.0157753,0.0394274,0.0115874,0.0132687,0.0079640,0.0246197,0.1196513,0.0190593,0.0677031,0.1687625,0.0158808,0.0146088,1.1473780,0.0422684,0.0076348,0.0117062,0.0051538,0.0136305,0.0040951,0.0119170,0.0014853,0.0065068,0.0008092,0.0061083,0.0189110,0.0041428,0.0054180,0.0087866,0.0049705,0.0081968,0.0217837,0.0046614,0.0059999,0.0100318,0.0057854,0.0104158,0.0061624,0.0079068,0.0044976,0.0082272,0.0055223,0.0066099,0.0050061,0.0175960,0.0064408,0.0186024
493,Warehousing and storage,0.0067779,0.0020791,0.0023312,0.0045007,0.0017147,0.0033938,0.0060512,0.0134857,0.0181656,0.0067629,0.0065575,0.0065050,0.0032068,0.0060190,0.0080578,0.0038194,0.0089724,0.0072547,0.0102205,0.0279272,0.0127585,0.0232356,0.0162747,0.0045933,0.0071551,0.0183131,0.0182495,0.0252502,0.0315178,0.0233029,0.0349374,0.0034732,0.0030288,0.0158442,0.0241060,0.0055895,0.0031205,0.0075380,1.0462273,0.0035611,0.0039556,0.0030897,0.0051294,0.0011073,0.0018423,0.0007852,0.0011693,0.0004055,0.0034815,0.0049997,0.0017440,0.0023974,0.0029129,0.0017795,0.0144429,0.0062546,0.0018023,0.0027823,0.0044249,0.0032453,0.0038485,0.0028878,0.0028211,0.0024976,0.0050005,0.0030384,0.0028362,0.0044207,0.0019961,0.0056689,0.0042741
511,"Publishing industries, except internet (includes software)",0.0017700,0.0008861,0.0021446,0.0019939,0.0014779,0.0038917,0.0029148,0.0030459,0.0030554,0.0032938,0.0033212,0.0029671,0.0009546,0.0025739,0.0029090,0.0027243,0.0034479,0.0027850,0.0023284,0.0023628,0.0020633,0.0031521,0.0032936,0.0021003,0.0015767,0.0024944,0.0051584,0.0053154,0.0032193,0.0038160,0.0056565,0.0028426,0.0031871,0.0034641,0.0026556,0.0032419,0.0018814,0.0043730,0.0030266,1.0948108,0.0031775,0.0041773,0.0121892,0.0045055,0.0062264,0.0023581,0.0046866,0.0004805,0.0044076,0.0047604,0.0071032,0.0061404,0.0069540,0.0039135,0.0103998,0.0055533,0.0059137,0.0029432,0.0052419,0.0028637,0.0051316,0.0034567,0.0037270,0.0026791,0.0041311,0.0036268,0.0025195,0.0088999,0.0022610,0.0077391,0.0051831
512,Motion picture and sound recording industries,0.0007359,0.0003689,0.0009923,0.0008842,0.0007565,0.0010168,0.0011372,0.0009582,0.0012197,0.0011611,0.0011038,0.0010038,0.0003355,0.0008894,0.0010780,0.0007007,0.0011382,0.0009392,0.0009487,0.0009460,0.0008325,0.0010591,0.0012029,0.0009469,0.0006095,0.0009770,0.0017520,0.0031307,0.0028920,0.0010070,0.0019438,0.0015685,0.0009408,0.0017563,0.0014625,0.0013038,0.0023771,0.0014200,0.0008368,0.0021862,1.2803118,0.0915990,0.0035914,0.0013450,0.0024050,0.0008406,0.0016787,0.0001662,0.0025332,0.0021828,0.0016589,0.0014487,0.0045167,0.0023302,0.0023512,0.0017760,0.0036220,0.0011230,0.0013883,0.0059039,0.0077736,0.0042358,0.0019558,0.0056681,0.0072165,0.0019105,0.0015852,0.0066445,0.0024299,0.0036347,0.0015904
513,Broadcasting and telecommunications,0.0068052,0.0032477,0.0081761,0.0074552,0.0067256,0.0091763,0.0108095,0.0089233,0.0118591,0.0106893,0.0103387,0.0090022,0.0029164,0.0080409,0.0094570,0.0065164,0.0105341,0.0085359,0.0085242,0.0085555,0.0071639,0.0096091,0.0116287,0.0076238,0.0052467,0.0087466,0.0155760,0.0138088,0.0110744,0.0085905,0.0181087,0.0108502,0.0080165,0.0150268,0.0140435,0.0129375,0.0172810,0.0129510,0.0075208,0.0151709,0.0166301,1.1301849,0.0378790,0.0112129,0.0192712,0.0080133,0.0146988,0.0014265,0.0230228,0.0152996,0.0168541,0.0112991,0.0160996,0.0128975,0.0221231,0.0171344,0.0128670,0.0087247,0.0114416,0.0113683,0.0095426,0.0105094,0.0153735,0.0213651,0.0156419,0.0140275,0.0147262,0.0274515,0.0205179,0.0384074,0.0148024
514,"Data processing, internet publishing, and other information services",0.0063650,0.0037049,0.0084717,0.0086542,0.0062788,0.0188362,0.0117145,0.0146437,0.0173623,0.0150765,0.0158767,0.0144686,0.0036781,0.0128069,0.0125925,0.0112447,0.0179450,0.0135881,0.0100800,0.0114973,0.0092150,0.0163754,0.0142319,0.0085562,0.0065982,0.0114676,0.0161569,0.0249563,0.0169382,0.0145878,0.0278540,0.0123291,0.0102206,0.0149743,0.0107662,0.0150719,0.0102864,0.0134587,0.0097326,0.0292514,0.0142759,0.0181401,1.0466515,0.0253765,0.0244772,0.0089550,0.0218905,0.0024497,0.0185841,0.0173521,0.0212361,0.0212668,0.0254640,0.0169742,0.0502346,0.0299498,0.0237197,0.0090515,0.0163014,0.0117859,0.0121689,0.0175061,0.0180809,0.0119741,0.0235910,0.0177412,0.0129324,0.0295042,0.0118930,0.0253507,0.0226172
521CI,"Federal Reserve banks, credit intermediation, and related activities",0.0219812,0.0165545,0.0341145,0.0260365,0.0211125,0.0302341,0.0199322,0.0172428,0.0257008,0.0242831,0.0220198,0.0202634,0.0102826,0.0218634,0.0284121,0.0125068,0.0237310,0.0213789,0.0236890,0.0226465,0.0516022,0.0233293,0.0217547,0.0285445,0.0172386,0.0231800,0.0340267,0.0205266,0.0247696,0.0273518,0.0306128,0.0274505,0.0949312,0.0478331,0.0262012,0.0511739,0.0843736,0.0229702,0.0173634,0.0262260,0.0234442,0.0363999,0.0241320,1.0919856,0.0982494,0.0066003,0.0773796,0.0697356,0.0873594,0.0548306,0.0159526,0.0144017,0.0216378,0.0618897,0.0213849,0.0256859,0.0161342,0.0165100,0.0243446,0.0211916,0.0193678,0.0188376,0.0297135,0.0234760,0.0342616,0.0240286,0.0080261,0.0244699,0.0228171,0.0174321,0.0280499
523,"Securities, commodity contracts, and investments",0.0050949,0.0029031,0.0111050,0.0288492,0.0765008,0.0066294,0.0057399,0.0045883,0.0077650,0.0158449,0.0133780,0.0116771,0.0027109,0.0099202,0.0125130,0.0055736,0.0128709,0.0107277,0.0057864,0.0052888,0.0082582,0.0059241,0.0048861,0.0084088,0.0042909,0.0057881,0.0081352,0.0040256,0.0053139,0.0061367,0.0067072,0.0130507,0.0202247,0.0190917,0.0080345,0.0278080,0.0127980,0.0126856,0.0046241,0.0049481,0.0095510,0.0064279,0.0048593,0.0883172,1.0980174,0.0093617,0.5194845,0.0075429,0.0163951,0.0214181,0.0044159,0.0040892,0.0058377,0.0284693,0.0061033,0.0069174,0.0041391,0.0051314,0.0261809,0.0061238,0.0200273,0.0101885,0.0061347,0.0050005,0.0212360,0.0094400,0.0024815,0.0043390,0.0051298,0.0040118,0.0185438
524,Insurance carriers and related activities,0.0264034,0.0231845,0.0269353,0.0238198,0.0274150,0.0169295,0.0136521,0.0201723,0.0282753,0.0239709,0.0208353,0.0219147,0.0066337,0.0263423,0.0331643,0.0146030,0.0260266,0.0182623,0.0274408,0.0273051,0.0204799,0.0208262,0.0150987,0.0219880,0.0167060,0.0219065,0.0406736,0.0234206,0.0223995,0.0216520,0.0302657,0.0204076,0.0143907,0.0403267,0.0668901,0.1946210,0.0139698,0.0390564,0.0364857,0.0098380,0.0331135,0.0164815,0.0133609,0.0198111,0.0469610,1.5335530,0.0953620,0.0049228,0.0663108,0.0508187,0.0177136,0.0136575,0.0197381,0.0132313,0.0222771,0.0294583,0.0221800,0.0211913,0.0339727,0.0303253,0.0542534,0.0305950,0.0272730,0.0146958,0.0262862,0.0158666,0.0077017,0.0127181,0.1222980,0.0124666,0.0636423
