"Industry-by-Industry Total Requirements, After Redefinitions - Summary"
525,"Funds, trusts, and other financial vehicles",0.0000579,0.0000506,0.0000670,0.0000566,0.0000611,0.0000377,0.0000313,0.0000453,0.0000629,0.0000606,0.0000488,0.0000519,0.0000156,0.0000599,0.0000748,0.0000335,0.0000579,0.0000421,0.0000619,0.0000612,0.0000459,0.0000475,0.0000340,0.0000532,0.0000385,0.0000493,0.0000913,0.0000507,0.0000493,0.0000504,0.0000673,0.0000460,0.0000320,0.0000886,0.0001439,0.0004118,0.0000303,0.0000867,0.0000790,0.0000224,0.0000713,0.0000363,0.0000297,0.0000430,0.0001016,0.0032348,1.0165314,0.0000106,0.0001430,0.0001107,0.0000390,0.0000302,0.0000435,0.0001080,0.0000501,0.0000680,0.0000491,0.0000486,0.0000740,0.0000670,0.0001165,0.0000674,0.0000599,0.0000334,0.0000616,0.0000370,0.0000174,0.0000279,0.0002590,0.0002014,0.0001368
HS,Housing,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
ORE,Other real estate,0.0304452,0.0100889,0.0308575,0.0250252,0.0204670,0.0357156,0.0360454,0.0284799,0.0306563,0.0313702,0.0399002,0.0300666,0.0092568,0.0287405,0.0324230,0.0181752,0.0422350,0.0281767,0.0343866,0.0373493,0.0275072,0.0379307,0.0535627,0.0268582,0.0200384,0.0371771,0.0701714,0.0691901,0.1295811,0.1027060,0.1438145,0.0272697,0.0242519,0.0535247,0.0588804,0.0556172,0.0197094,0.0520958,0.0792048,0.0442252,0.0669705,0.0680848,0.0492332,0.0397676,0.0839627,0.0293404,0.0472740,0.0080933,1.1718801,0.0668560,0.0740517,0.0343763,0.0857123,0.0852767,0.0720492,0.0719392,0.1069993,0.0618956,0.1160471,0.1459853,0.0891830,0.0998488,0.1423646,0.0412489,0.1001450,0.1105502,0.0170511,0.0534662,0.0266480,0.0246106,0.0349772
532RL,Rental and leasing services and lessors of intangible assets,0.0164539,0.0069837,0.0296270,0.0362228,0.0282432,0.0139828,0.0235881,0.0138928,0.0210329,0.0201398,0.0187185,0.0174275,0.0057910,0.0164177,0.0332241,0.0114565,0.0160123,0.0168902,0.0196581,0.0157302,0.1142926,0.0208703,0.0177676,0.0246181,0.0158963,0.0186606,0.0263720,0.0089878,0.0132912,0.0273168,0.0194860,0.0636464,0.0915949,0.1589671,0.0513799,0.0146732,0.0054519,0.0197675,0.0308529,0.0129420,0.0160555,0.0204905,0.0349829,0.0099142,0.0233022,0.0069812,0.0129154,0.0031592,0.0129328,1.0410246,0.0111248,0.0114960,0.0175647,0.0493290,0.0195696,0.0316993,0.0085698,0.0102551,0.0117573,0.0087802,0.0096886,0.0177894,0.0177069,0.0116698,0.0301015,0.0093239,0.0077022,0.0070777,0.0114561,0.0118271,0.0161228
5411,Legal services,0.0051437,0.0039001,0.0085456,0.0098805,0.0064780,0.0158319,0.0082078,0.0084380,0.0086137,0.0091158,0.0107638,0.0086462,0.0030853,0.0066895,0.0093635,0.0054335,0.0098237,0.0115759,0.0068975,0.0080645,0.0068551,0.0107724,0.0092445,0.0076717,0.0053201,0.0097108,0.0138373,0.0056408,0.0073525,0.0074798,0.0108875,0.0053738,0.0147324,0.0096647,0.0060102,0.0081587,0.0040543,0.0065512,0.0059978,0.0127195,0.0120098,0.0088232,0.0126330,0.0086988,0.0235839,0.0134561,0.0177674,0.0017108,0.0146534,0.0082325,1.0107816,0.0092946,0.0208241,0.0211055,0.0134167,0.0110402,0.0047474,0.0076278,0.0220011,0.0102912,0.0079695,0.0161854,0.0172274,0.0057215,0.0087945,0.0097979,0.0036032,0.0044838,0.0045294,0.0097441,0.0099910
5415,Computer systems design and related services,0.0056292,0.0028415,0.0221565,0.0099512,0.0042697,0.0099756,0.0079158,0.0078619,0.0081163,0.0091404,0.0105595,0.0110718,0.0031883,0.0068070,0.0089583,0.0105431,0.0091405,0.0077910,0.0073352,0.0072624,0.0051266,0.0082691,0.0102617,0.0157526,0.0048795,0.0081479,0.0146920,0.0142850,0.0076117,0.0109322,0.0120052,0.0102925,0.0184336,0.0099685,0.0077953,0.0102266,0.0037169,0.0063470,0.0064469,0.0268947,0.0091080,0.0101309,0.0272175,0.0107591,0.0205687,0.0086106,0.0142767,0.0014483,0.0110396,0.0077476,0.0147554,1.0183742,0.0106382,0.0081090,0.0220526,0.0139509,0.0092813,0.0066013,0.0103710,0.0085558,0.0107087,0.0073844,0.0111558,0.0073640,0.0108677,0.0080400,0.0109746,0.0488801,0.0051541,0.0169462,0.0208486
5412OP,"Miscellaneous professional, scientific, and technical services",0.0294336,0.0210098,0.0406710,0.0425663,0.0277885,0.0490587,0.0543798,0.0410732,0.0429119,0.0476638,0.0439769,0.0403223,0.0132354,0.0397997,0.0460348,0.0282994,0.0540083,0.0433563,0.0417163,0.0426870,0.0316346,0.0465740,0.0438882,0.0382277,0.0272550,0.0452882,0.0845198,0.0757626,0.0591310,0.0441662,0.0976581,0.0306243,0.0480930,0.0570808,0.0396963,0.0442157,0.0374709,0.0323242,0.0349201,0.0854001,0.0819802,0.0719138,0.1085688,0.0576718,0.0934919,0.0443877,0.0594024,0.0074751,0.0746375,0.0629551,0.0445353,0.0681962,1.1081462,0.0909652,0.0780982,0.0585974,0.0371293,0.0388265,0.0645891,0.0516491,0.0456969,0.0620221,0.0681162,0.0396466,0.0564582,0.0522162,0.0779327,0.0528918,0.0334919,0.0516642,0.0891959
55,Management of companies and enterprises,0.0202778,0.0084262,0.1235786,0.0758538,0.0316259,0.0158755,0.0251364,0.0213373,0.0366169,0.0295138,0.0305116,0.0543914,0.0170598,0.0351316,0.0445399,0.0269550,0.0267443,0.0373161,0.0450160,0.0423381,0.0321130,0.0338128,0.0231393,0.0818295,0.0378486,0.0331311,0.0660150,0.0132190,0.0224205,0.0569372,0.0395085,0.0348255,0.0169735,0.0432870,0.0295880,0.0141668,0.0066668,0.0365435,0.0226027,0.0187511,0.0128005,0.0147251,0.0166848,0.0144882,0.0305223,0.0090820,0.0196265,0.0022667,0.0280777,0.0412804,0.0188537,0.0150281,0.0204951,1.0103423,0.0350325,0.0491837,0.0192207,0.0466067,0.0248073,0.0346600,0.0230961,0.0210950,0.0233490,0.0275622,0.0735055,0.0229011,0.0121945,0.0099168,0.0107543,0.0153283,0.0261706
561,Administrative and support services,0.0234756,0.0108841,0.0277297,0.0306483,0.0272420,0.0452049,0.0309431,0.0320347,0.0348619,0.0515932,0.0561486,0.0381291,0.0126759,0.0340240,0.0421524,0.0387501,0.0358740,0.0322966,0.0326270,0.0330401,0.0515085,0.0406167,0.0629775,0.0300625,0.0243038,0.0368656,0.0681687,0.0420884,0.0428561,0.0503703,0.0639047,0.0462267,0.0388415,0.1328663,0.0636634,0.1208980,0.0547272,0.0686799,0.0652256,0.0902060,0.0537737,0.0752518,0.1048333,0.0403604,0.0608648,0.0255880,0.0353242,0.0061384,0.1422168,0.1105836,0.0527084,0.0806123,0.0669949,0.0617730,1.1380375,0.0935106,0.0400226,0.0429186,0.0861892,0.0732629,0.0416629,0.0750287,0.0550769,0.0362446,0.0476317,0.0494288,0.0280759,0.0621584,0.0248856,0.0428671,0.0527340
562,Waste management and remediation services,0.0025723,0.0011420,0.0044444,0.0031053,0.0029520,0.0042957,0.0038041,0.0031937,0.0040566,0.0151617,0.0068546,0.0046267,0.0012576,0.0048420,0.0048001,0.0024536,0.0047074,0.0031903,0.0035648,0.0040151,0.0020795,0.0049329,0.0040985,0.0045426,0.0032067,0.0041654,0.0044042,0.0048093,0.0064339,0.0050583,0.0068599,0.0027218,0.0036024,0.0034460,0.0061044,0.0032042,0.0044013,0.0058973,0.0046341,0.0022235,0.0031835,0.0031704,0.0026662,0.0019791,0.0038513,0.0024516,0.0030768,0.0004411,0.0399007,0.0055256,0.0035225,0.0022773,0.0046271,0.0045661,0.0053039,1.0849080,0.0054046,0.0039464,0.0065890,0.0077211,0.0052791,0.0043075,0.0080335,0.0043295,0.0058355,0.0077463,0.0015606,0.0039754,0.0041216,0.0106106,0.0136559
61,Educational services,0.0000785,0.0000513,0.0000617,0.0000618,0.0000544,0.0000684,0.0001077,0.0000948,0.0000813,0.0002263,0.0001225,0.0001000,0.0000331,0.0000968,0.0001164,0.0000591,0.0000936,0.0000735,0.0000887,0.0000744,0.0000629,0.0000989,0.0000997,0.0000657,0.0000610,0.0000885,0.0002487,0.0001955,0.0005505,0.0000736,0.0008920,0.0003526,0.0000872,0.0001187,0.0001346,0.0001111,0.0000574,0.0001143,0.0000620,0.0000724,0.0013723,0.0006603,0.0000998,0.0001129,0.0001198,0.0000328,0.0000825,0.0000232,0.0001867,0.0001177,0.0000711,0.0000884,0.0001136,0.0001703,0.0003045,0.0001892,1.0048598,0.0000706,0.0001104,0.0000887,0.0001195,0.0137335,0.0014684,0.0000774,0.0001517,0.0015064,0.0000559,0.0001676,0.0007629,0.0030553,0.0000999
621,Ambulatory health care services,0.0000280,0.0000255,0.0000316,0.0000243,0.0000429,0.0000323,0.0000246,0.0000369,0.0000276,0.0001428,0.0000597,0.0000484,0.0000244,0.0000484,0.0000553,0.0000247,0.0000364,0.0000319,0.0000304,0.0000289,0.0000184,0.0000419,0.0000286,0.0000597,0.0000240,0.0000336,0.0000314,0.0000143,0.0000217,0.0000256,0.0000311,0.0002682,0.0000272,0.0001351,0.0000330,0.0000209,0.0000194,0.0000428,0.0000167,0.0000208,0.0000359,0.0000520,0.0000239,0.0000423,0.0002881,0.0000124,0.0001408,0.0000047,0.0000345,0.0000382,0.0000111,0.0000264,0.0000855,0.0000328,0.0000304,0.0000466,0.0000246,1.0138005,0.0139959,0.0000447,0.0000188,0.0000891,0.0000270,0.0000210,0.0000298,0.0000472,0.0000694,0.0038514,0.0000163,0.0025506,0.0000301
622,Hospitals,0.0000001,0.0000001,0.0000001,0.0000000,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000003,0.0000001,0.0000001,0.0000000,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000000,0.0000001,0.0000001,0.0000001,0.0000000,0.0000001,0.0000001,0.0000000,0.0000000,0.0000001,0.0000001,0.0000005,0.0000001,0.0000003,0.0000001,0.0000000,0.0000000,0.0000001,0.0000000,0.0000000,0.0000001,0.0000001,0.0000000,0.0000001,0.0000006,0.0000000,0.0000003,0.0000000,0.0000001,0.0000001,0.0000000,0.0000001,0.0000002,0.0000001,0.0000001,0.0000001,0.0000000,0.0000280,1.0004050,0.0000001,0.0000000,0.0000002,0.0000001,0.0000000,0.0000001,0.0000001,0.0000001,0.0000078,0.0000000,0.0000052,0.0000001
623,Nursing and residential care facilities,0.0000366,0.0000205,0.0000458,0.0000345,0.0000611,0.0000383,0.0000293,0.0000406,0.0000386,0.0000777,0.0000508,0.0000552,0.0000401,0.0000494,0.0000696,0.0000315,0.0000425,0.0000423,0.0000426,0.0000442,0.0000272,0.0000537,0.0000421,0.0001057,0.0000386,0.0000492,0.0000445,0.0000127,0.0000268,0.0000393,0.0000401,0.0005326,0.0000401,0.0002616,0.0000479,0.0000284,0.0000251,0.0000442,0.0000213,0.0000260,0.0000395,0.0000817,0.0000267,0.0000742,0.0005659,0.0000167,0.0002732,0.0000075,0.0000319,0.0000601,0.0000120,0.0000389,0.0000259,0.0000463,0.0000278,0.0000325,0.0000227,0.0000141,0.0000264,1.0000238,0.0000239,0.0000304,0.0000273,0.0000309,0.0000430,0.0000363,0.0001253,0.0077940,0.0000211,0.0005603,0.0000342
624,Social assistance,0.0000003,0.0000002,0.0000004,0.0000003,0.0000005,0.0000003,0.0000002,0.0000003,0.0000003,0.0000006,0.0000004,0.0000004,0.0000003,0.0000004,0.0000005,0.0000002,0.0000003,0.0000003,0.0000003,0.0000003,0.0000002,0.0000004,0.0000003,0.0000008,0.0000003,0.0000004,0.0000003,0.0000001,0.0000002,0.0000003,0.0000003,0.0000042,0.0000003,0.0000021,0.0000004,0.0000002,0.0000002,0.0000003,0.0000002,0.0000002,0.0000003,0.0000006,0.0000002,0.0000006,0.0000044,0.0000001,0.0000021,0.0000001,0.0000003,0.0000005,0.0000001,0.0000003,0.0000002,0.0000004,0.0000002,0.0000003,0.0000002,0.0000001,0.0000002,0.0000002,1.0000002,0.0000002,0.0000002,0.0000002,0.0000003,0.0000003,0.0000010,0.0000612,0.0000002,0.0000044,0.0000003
711AS,"Performing arts, spectator sports, museums, and related activities",0.0017703,0.0007035,0.0023058,0.0019186,0.0015038,0.0018484,0.0019565,0.0020366,0.0022201,0.0025076,0.0023429,0.0022395,0.0007153,0.0018915,0.0024421,0.0013775,0.0023307,0.0019752,0.0022036,0.0019940,0.0017739,0.0023775,0.0025464,0.0020607,0.0014402,0.0024149,0.0050379,0.0039599,0.0045888,0.0025677,0.0040163,0.0019193,0.0035619,0.0027403,0.0025278,0.0023173,0.0017844,0.0031734,0.0017374,0.0028257,0.1127267,0.0515494,0.0046305,0.0051701,0.0047806,0.0012852,0.0038761,0.0004824,0.0095948,0.0037899,0.0039520,0.0043949,0.0063124,0.0103500,0.0056826,0.0040094,0.0041634,0.0030345,0.0040961,0.0039267,0.0070155,1.1523417,0.0072866,0.0032879,0.0074112,0.0040981,0.0015822,0.0029570,0.0020948,0.0036921,0.0024283
713,"Amusements, gambling, and recreation industries",0.0004170,0.0001594,0.0005391,0.0004512,0.0004641,0.0005294,0.0005192,0.0005025,0.0006160,0.0005817,0.0005557,0.0005293,0.0001632,0.0004151,0.0005642,0.0003108,0.0005746,0.0004825,0.0004892,0.0003963,0.0003946,0.0005341,0.0006067,0.0004658,0.0003336,0.0005520,0.0010776,0.0002900,0.0006212,0.0003759,0.0011735,0.0003509,0.0004089,0.0005444,0.0003581,0.0003697,0.0002584,0.0004065,0.0002783,0.0005432,0.0006237,0.0004850,0.0010839,0.0014175,0.0013015,0.0002177,0.0008804,0.0001213,0.0005467,0.0009708,0.0008328,0.0016670,0.0009136,0.0027285,0.0015211,0.0010515,0.0005439,0.0009937,0.0004228,0.0006266,0.0008790,0.0008980,1.0015433,0.0013375,0.0014456,0.0003848,0.0027851,0.0003386,0.0002088,0.0010954,0.0006641
721,Accommodation,0.0011622,0.0005521,0.0015416,0.0015172,0.0020156,0.0030955,0.0015840,0.0020670,0.0024988,0.0023768,0.0024455,0.0020370,0.0005901,0.0016691,0.0022523,0.0012162,0.0025419,0.0020554,0.0016791,0.0017046,0.0017758,0.0023124,0.0033257,0.0015226,0.0011808,0.0024292,0.0033189,0.0015971,0.0021440,0.0020246,0.0027480,0.0016517,0.0020869,0.0026516,0.0018200,0.0019810,0.0014630,0.0027031,0.0016627,0.0028544,0.0036145,0.0026772,0.0071774,0.0078060,0.0074000,0.0012106,0.0049423,0.0006422,0.0106871,0.0054588,0.0040470,0.0092281,0.0045645,0.0034660,0.0068345,0.0059876,0.0033361,0.0038258,0.0025320,0.0031271,0.0031124,0.0024464,0.0034381,1.0019159,0.0048598,0.0023185,0.0030125,0.0035932,0.0013891,0.0025490,0.0022250
722,Food services and drinking places,0.0047025,0.0020381,0.0048789,0.0047290,0.0054393,0.0084032,0.0047339,0.0057038,0.0062946,0.0067156,0.0063352,0.0055488,0.0016951,0.0049026,0.0062641,0.0034189,0.0064372,0.0051164,0.0055165,0.0054669,0.0055051,0.0064070,0.0072075,0.0047418,0.0035165,0.0062946,0.0109159,0.0074403,0.0102095,0.0110694,0.0130075,0.0324280,0.0053372,0.0084010,0.0095738,0.0072430,0.0044811,0.0117477,0.0075006,0.0062624,0.0089954,0.0066252,0.0116975,0.0164954,0.0138131,0.0051173,0.0108403,0.0014831,0.0385177,0.0174243,0.0108365,0.0178866,0.0160621,0.0146692,0.0183853,0.0113971,0.0085857,0.0257441,0.0274596,0.0399390,0.0213571,0.0091004,0.0164065,0.0405333,1.0149298,0.0077892,0.0041454,0.0060663,0.0059447,0.0098298,0.0068388
81,"Other services, except government",0.0062444,0.0036259,0.0058907,0.0067630,0.0054694,0.0062996,0.0092387,0.0095311,0.0145848,0.0157080,0.0129136,0.0100883,0.0042078,0.0090527,0.0113899,0.0064645,0.0095478,0.0084589,0.0095566,0.0094795,0.0068577,0.0142254,0.0104852,0.0073303,0.0074312,0.0110628,0.0150144,0.0092816,0.0132952,0.0135454,0.0129557,0.0096607,0.0068525,0.0144822,0.0310613,0.0299474,0.0092011,0.0148471,0.0097465,0.0084470,0.0067982,0.0099219,0.0085674,0.0073068,0.0130232,0.0059371,0.0075984,0.0072121,0.0122346,0.0225335,0.0053556,0.0073676,0.0098694,0.0150903,0.0209314,0.0541415,0.0086614,0.0081056,0.0176649,0.0102444,0.0074970,0.0086272,0.0137416,0.0087509,0.0172859,1.0137238,0.0085333,0.0377154,0.0087648,0.0189131,0.0148353
GFGD,Federal general government (defense),0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,0.0000000,0.0000000
GFGN,Federal general government (nondefense),0.0044866,0.0022266,0.0057283,0.0043265,0.0075750,0.0046502,0.0035962,0.0048213,0.0048160,0.0069432,0.0056046,0.0065797,0.0050729,0.0057380,0.0084625,0.0038517,0.0051411,0.0052308,0.0053098,0.0055832,0.0034382,0.0065770,0.0053076,0.0135165,0.0048999,0.0061655,0.0056531,0.0015610,0.0033356,0.0049889,0.0050420,0.0687778,0.0050589,0.0337877,0.0059966,0.0035748,0.0031215,0.0051498,0.0026527,0.0033053,0.0049348,0.0104314,0.0033573,0.0095388,0.0731046,0.0021180,0.0352732,0.0009499,0.0037391,0.0076552,0.0014935,0.0049592,0.0032567,0.0058815,0.0034723,0.0033974,0.0026045,0.0017201,0.0032661,0.0029652,0.0029868,0.0034308,0.0033094,0.0039086,0.0054241,0.0040081,0.0161352,1.0077791,0.0026240,0.0025955,0.0042046
GFE,Federal government enterprises,0.0033598,0.0012552,0.0026107,0.0033535,0.0017174,0.0040418,0.0024513,0.0031383,0.0034053,0.0044874,0.0035384,0.0034688,0.0013277,0.0038931,0.0039977,0.0021412,0.0031724,0.0023376,0.0036417,0.0033972,0.0023601,0.0039547,0.0032087,0.0031118,0.0027357,0.0035865,0.0103978,0.0035959,0.0049368,0.0037464,0.0070018,0.0025398,0.0020284,0.0299804,0.0100468,0.0047092,0.0030725,0.0047285,0.0055348,0.0020640,0.0034493,0.0019394,0.0037435,0.0037093,0.0105904,0.0016897,0.0056245,0.0004048,0.0031946,0.0058226,0.0015023,0.0017711,0.0023970,0.0020699,0.0024993,0.0032717,0.0019269,0.0021498,0.0046446,0.0027778,0.0032493,0.0019030,0.0025515,0.0054997,0.0085383,0.0019969,0.0014104,0.0015387,1.0030862,0.0025914,0.0027815
GSLG,State and local general government,0.0034692,0.0061615,0.0027437,0.0019269,0.0047594,0.0043936,0.0028476,0.0061877,0.0024585,0.0446494,0.0138797,0.0080914,0.0016079,0.0093633,0.0078161,0.0031424,0.0051555,0.0035188,0.0028545,0.0018337,0.0011591,0.0053576,0.0019868,0.0021460,0.0013432,0.0027361,0.0015425,0.0012490,0.0018703,0.0013352,0.0020564,0.0014373,0.0017647,0.0006492,0.0027995,0.0013902,0.0018718,0.0081269,0.0015380,0.0008663,0.0025306,0.0019174,0.0013389,0.0007303,0.0011384,0.0005131,0.0008352,0.0002278,0.0055975,0.0016413,0.0008304,0.0009871,0.0013335,0.0014859,0.0018429,0.0114850,0.0046808,0.0014261,0.0021464,0.0015793,0.0015738,0.0071565,0.0032274,0.0012724,0.0019370,0.0098683,0.0010685,0.0016536,0.0015502,1.0033082,0.0031582
GSLE,State and local government enterprises,0.0094391,0.0025306,0.0106510,0.0131770,0.0031453,0.0211533,0.0063931,0.0089627,0.0140013,0.0138938,0.0104906,0.0076945,0.0031026,0.0078618,0.0091849,0.0067187,0.0092262,0.0063191,0.0096653,0.0126856,0.0045181,0.0158074,0.0109129,0.0122722,0.0097486,0.0127420,0.0090891,0.0082672,0.0169116,0.0140187,0.0132421,0.0130719,0.0049629,0.0096719,0.0180078,0.0055008,0.0090975,0.0139575,0.0111504,0.0039091,0.0058037,0.0066326,0.0071044,0.0039369,0.0063587,0.0021788,0.0050336,0.0008185,0.0157690,0.0089455,0.0052252,0.0041112,0.0062183,0.0077506,0.0071894,0.0163662,0.0081239,0.0053945,0.0091603,0.0112566,0.0075126,0.0080812,0.0122874,0.0102785,0.0129437,0.0085961,0.0055125,0.0060804,0.0116139,0.0099753,1.0120907
,Total industry output requirement,2.2913896,1.5710911,1.9742413,1.9962360,1.5858655,1.7176904,1.9782849,2.3595354,2.0962495,2.6402716,2.4469758,2.3551645,1.5054594,2.3644759,2.9380758,2.0478433,2.3867993,1.9595657,2.6593144,2.4242075,1.9719233,2.4402918,2.0708193,2.5703398,2.0567657,2.4803695,1.8228004,1.5551060,1.7000013,1.6800317,1.8596228,2.0575524,1.9059220,2.2223653,2.1080176,1.8732335,1.4875357,1.9149696,1.7231943,1.6540792,1.9196561,1.8985127,1.7600656,1.5737671,1.9111755,1.7857337,2.1406989,1.1929936,2.0879254,1.8241049,1.4244479,1.5134680,1.6852047,1.6739301,1.8406657,2.1150162,1.5530323,1.6061459,1.8370493,1.7627665,1.8111768,1.7446995,1.7762186,1.5790464,1.9513208,1.6966754,1.7265865,1.6679204,1.6813833,1.8039809,2.2693886

Legend/Footnotes
Note. Detail may not add to total due to rounding.
